,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
671,3,Vadgaon Budruk,914,7986,,73.0,2018.0,-3.0
672,2,Vadgaon Budruk,635,8346,,53.0,2018.0,-3.0
673,2,Vadgaon Budruk,618,7928,,49.0,2018.0,-3.0
674,2,Vadgaon Budruk,585,8034,,47.0,2018.0,-3.0
675,1,Mamurdi,668,5014,1.0,33.5,2015.0,-6.0
676,2,Katraj,1240,6935,2.0,86.0,2016.0,-5.0
677,3,Katraj,1540,7467,3.0,114.99999999999999,2016.0,-5.0
678,1,Wadgaon Budruk,590,5932,1.0,35.0,2009.0,-12.0
680,2,Katraj,950,6421,2.0,61.0,2014.0,-7.0
681,2,Katraj,890,5842,2.0,52.0,2013.0,-8.0
683,1,Hadapsar,660,7575,1.0,50.0,2009.0,-12.0
684,2,Kharadi,1005,6347,2.0,63.78,1899.0,-122.0
685,3,Kharadi,1970,6345,3.0,125.0,2018.0,-3.0
686,2,Kharadi,1355,9151,2.0,124.0,2018.0,-3.0
687,2,Kharadi,1315,9353,2.0,123.0,2018.0,-3.0
688,1,Dhayari,600,6583,1.0,39.5,2016.0,-5.0
689,2,Undri,859,4423,2.0,38.0,2018.0,-3.0
690,2,Undri,1250,4160,2.0,52.0,2018.0,-3.0
691,2,Kondhwa,820,6951,2.0,57.0,2018.0,-3.0
693,2,Undri,1080,4629,2.0,50.0,2019.0,-2.0
694,2,Wakad,1000,6200,2.0,62.0,2021.0,0.0
695,3,Wakad,1300,6307,3.0,82.0,2023.0,2.0
696,2,Wakad,1230,5528,2.0,68.0,2023.0,2.0
697,2,Wakad,935,7807,2.0,73.0,2023.0,2.0
698,1,Alandi,650,7000,1.0,45.5,2019.0,-2.0
699,3,Wagholi,1350,5603,2.0,75.65,2018.0,-3.0
700,2,Kharadi,999,6369,2.0,63.63,2024.0,3.0
701,2,Wagholi,820,3963,2.0,32.5,2016.0,-5.0
702,2,Wagholi,950,4210,2.0,40.0,2016.0,-5.0
703,3,Kharadi,1421,7248,3.0,103.0,2022.0,1.0
704,2,Kharadi,994,7509,2.0,74.64,2022.0,1.0
705,2,Wadgaon Sheri,1013,7403,2.0,75.0,2017.0,-4.0
706,2,Wagholi,845,3905,2.0,33.0,2017.0,-4.0
707,1,Wagholi,605,3966,1.0,24.0,2017.0,-4.0
708,2,Wagholi,1070,3551,2.0,38.0,2016.0,-5.0
709,2,Wagholi,850,5176,2.0,44.0,2016.0,-5.0
711,2,Dhanori,970,5876,2.0,57.0,2018.0,-3.0
712,1,Wagholi,597,4522,1.0,27.0,2015.0,-6.0
713,2,Wagholi,955,3979,2.0,38.0,2016.0,-5.0
714,1,Wagholi,630,4285,1.0,27.0,2016.0,-5.0
715,2,Wagholi,750,3733,2.0,28.0,2016.0,-5.0
716,1,Wagholi,670,3731,1.0,25.0,2016.0,-5.0
717,2,Ravet,764,8449,,64.46,2023.0,2.0
718,2,Ravet,877,8328,,73.03,2023.0,2.0
719,2,Ravet,874,8333,,72.75,2023.0,2.0
720,2,Ravet,743,8446,,62.75,2023.0,2.0
721,2,Ravet,909,8326,,75.6,2023.0,2.0
722,2,Ravet,696,8483,,59.04,2023.0,2.0
723,2,Ravet,910,8317,,75.6,2023.0,2.0
724,2,Ravet,873,8343,,72.75,2023.0,2.0
725,2,Ravet,651,8533,,55.54,2023.0,2.0
726,2,Ravet,703,8492,,59.61,2023.0,2.0
727,2,Ravet,878,8328,,73.03,2023.0,2.0
728,2,Ravet,913,8312,,75.89,2023.0,2.0
729,2,Ravet,737,8448,,62.18,2023.0,2.0
730,2,Ravet,723,8482,,61.32,2023.0,2.0
731,2,Ravet,914,8312,,75.89,2023.0,2.0
732,2,Ravet,765,8438,,64.46,2023.0,2.0
733,1,Ravet,495,8499,,42.07,2023.0,2.0
734,2,Ravet,690,8474,,58.47,2023.0,2.0
735,2,Ravet,724,8470,,61.32,2023.0,2.0
736,1,Wagholi,588,3571,1.0,21.0,2017.0,-4.0
737,2,Tathawade,980,5255,2.0,51.5,2023.0,2.0
738,2,Lohegaon,912,4934,2.0,45.0,2015.0,-6.0
739,1,Tathawade,710,5774,2.0,41.0,2021.0,0.0
740,2,Kharadi,1275,6980,2.0,89.0,2015.0,-6.0
741,3,Kalyani Nagar,1800,14444,3.0,260.0,2005.0,-16.0
742,2,Kharadi,950,6842,2.0,65.0,2011.0,-10.0
743,3,Kalyani Nagar,1750,14285,3.0,250.0,2010.0,-11.0
744,3,Kalyani Nagar,1750,12857,3.0,225.0,2005.0,-16.0
745,2,Kharadi,1250,6400,2.0,80.0,2012.0,-9.0
746,3,Kalyani Nagar,1750,12571,3.0,220.00000000000003,2010.0,-11.0
747,5,Viman Nagar,5500,10000,5.0,550.0,2014.0,-7.0
748,3,Kalyani Nagar,1750,12000,3.0,210.0,2010.0,-11.0
749,3,Kalyani Nagar,1669,12162,3.0,202.99999999999997,2010.0,-11.0
750,2,Undri,850,5647,2.0,48.0,2018.0,-3.0
751,3,Koregaon Park,2000,8250,3.0,165.0,2000.0,-21.0
752,3,Koregaon Park,1700,9411,3.0,160.0,2005.0,-16.0
753,2,Wagholi,1160,4827,2.0,56.0,2015.0,-6.0
754,3,Koregaon Park,1626,9225,3.0,150.0,2010.0,-11.0
755,1,Aundh,550,5454,1.0,30.0,2000.0,-21.0
756,2,Koregaon Park,1356,10693,2.0,145.0,2005.0,-16.0
757,2,Koregaon Park,1045,13205,2.0,138.0,2000.0,-21.0
758,2,Koregaon Park,1350,10000,2.0,135.0,2010.0,-11.0
759,2,Koregaon Park,840,15476,2.0,130.0,2000.0,-21.0
760,2,Koregaon Park,1050,11428,2.0,120.0,2005.0,-16.0
761,2,Koregaon Park,1400,8214,2.0,114.99999999999999,2010.0,-11.0
762,2,Koregaon Park,1140,9649,2.0,110.00000000000001,2000.0,-21.0
763,2,Koregaon Park,1100,9000,2.0,99.0,2000.0,-21.0
764,2,Koregaon Park,1000,9500,2.0,95.0,2015.0,-6.0
765,2,Koregaon Park,1100,8181,2.0,90.0,2000.0,-21.0
766,2,Koregaon Park,980,8265,2.0,81.0,2010.0,-11.0
767,1,bhekarai nagar,370,3648,1.0,13.5,2014.0,-7.0
768,1,Ravet,470,6170,2.0,29.0,2024.0,3.0
769,2,Wakad,780,5769,,44.99,2011.0,-10.0
770,1,Shivane,550,3090,1.0,16.99,1899.0,-122.0
772,1,Amanora Town Centre,612,8823,1.0,53.99,2013.0,-8.0
773,2,Karve Nagar,837,9557,,79.99,2021.0,0.0
774,3,Kondhwa,2195,5011,3.0,109.00000000000001,2006.0,-15.0
776,2,Kondhwa,974,6468,2.0,62.99,2008.0,-13.0
777,3,Pimple Gurav,1350,7037,3.0,94.99,2011.0,-10.0
778,2,Wakad,1024,4980,2.0,50.99,2011.0,-10.0
779,2,Wakad,650,7692,,49.99,2020.0,-1.0
780,2,Aundh,1100,9090,2.0,100.0,2004.0,-17.0
781,1,Aundh,580,9482,1.0,55.0,1989.0,-32.0
783,2,Hinjewadi,1000,6000,2.0,60.0,2021.0,0.0
791,2,Bavdhan,950,7894,2.0,75.0,2008.0,-13.0
792,1,Pashan,690,6086,1.0,42.0,2009.0,-12.0
793,2,Aundh,1100,10000,2.0,110.00000000000001,2008.0,-13.0
