bhk,locality,Price,sqft,status,Possession,price_per_sqft,Age_old,bath
3,Wadgaon Sheri,1.37 Cr,1249,Ready to move,,"11,000 / sq ft",2,3
2,Wadgaon Sheri,1.2 Cr,1098,Ready to move,,"11,000 / sq ft",2,2
3,Wadgaon Sheri,1.64 Cr,1496,Ready to move,,"11,000 / sq ft",2,3
3,Kondhwa,1.54 Cr,1378,Under Construction,Possession by Dec 1899,"11,248 / sq ft",,
2,Kondhwa,1.03 Cr,901,Under Construction,Possession by Dec 1899,"11,432 / sq ft",,
3,Kondhwa,1.58 Cr,1390,Under Construction,Possession by Dec 1899,"11,367 / sq ft",,
3,Kondhwa,1.59 Cr,1425,Under Construction,Possession by Dec 1899,"11,228 / sq ft",,
2,Kondhwa,1 Cr,898,Under Construction,Possession by Dec 1899,"11,136 / sq ft",,
3,Kondhwa,1.61 Cr,1436,Under Construction,Possession by Dec 1899,"11,212 / sq ft",,
3,Kondhwa,1.54 Cr,1378,Under Construction,Possession by Dec 1899,"11,248 / sq ft",,
2,Kondhwa,1.03 Cr,901,Under Construction,Possession by Dec 1899,"11,432 / sq ft",,
3,Kondhwa,1.58 Cr,1390,Under Construction,Possession by Dec 1899,"11,367 / sq ft",,
3,Kondhwa,1.59 Cr,1425,Under Construction,Possession by Dec 1899,"11,228 / sq ft",,
2,Kondhwa,1 Cr,898,Under Construction,Possession by Dec 1899,"11,136 / sq ft",,
2,Kondhwa,1.18 Cr,1180,Ready to move,,"10,000 / sq ft",,2
2,Mundhwa,64 L,1050,Ready to move,,"6,095 / sq ft",1,3
2,Mundhwa,65 L,1000,Ready to move,,"6,500 / sq ft",1,3
3,Mundhwa,95 L,1450,Ready to move,,"6,551 / sq ft",1,4
3,Kharadi,1.26 Cr,1890,Ready to move,,"6,666 / sq ft",,3
3,Kharadi,1.25 Cr,1890,Ready to move,,"6,613 / sq ft",,4
2,Kharadi,89 L,1350,Ready to move,,"6,592 / sq ft",,3
2,Kharadi,90 L,1350,Ready to move,,"6,666 / sq ft",,3
2,Kharadi,85 L,1242,Ready to move,,"6,843 / sq ft",,2
